Scene,Shot,Script Content,Shot Description,Characters,Camera Work,Shot Type,Setting,Completed
6,2,K-Shine started patting down his pockets.,"Medium shot of K-Shine patting himself down, confusion and panic visible on his face.",K-Shine,Static shot with a slight zoom to heighten the tension of the moment.,Static Shot,"Inside the house, night.",False
7,1,"Big T, noticing K-Shine’s growing concern, stepped in.","Two-shot of Big T and K-Shine, conveying the friendship and concern Big T has for K-Shine.","K-Shine, Big T",Medium shot with a slight dolly in to emphasize the interaction.,Medium Shot,"Inside the house, night.",False
8,1,"But before he could leave, something struck K-Shine.","Close-up of K-Shine’s face, realization dawning as he remembers he handed the gun back.",K-Shine,Slow zoom in on K-Shine’s expression to capture the humorous realization.,Unspecified Shot Type,"Inside the house, night.",False
9,1,Big T called an Uber.,"Wide shot of K-Shine and Big T standing together, K-Shine's posture relaxed as he prepares to leave.","K-Shine, Big T",Static wide shot to establish the scene before departure.,Wide Shot,"Outside the house, night.",False
10,1,"For Shine, the Uber ride was a complete blur.","Close-up of K-Shine in the back seat, eyes closed, face illuminated by the glow of the phone screen.",K-Shine,"Slow fade as the camera pulls away, transitioning into a dream-like blur.",Unspecified Shot Type,"Inside an Uber, night.",False
11,1,"His phone was dying, but he managed to FaceTime Big T one last time.","Close-up of K-Shine’s phone screen showing Big T’s face, with K-Shine’s anxious expression in the foreground.","K-Shine, Big T",Split-screen effect to emphasize the urgency of the call.,Unspecified Shot Type,"Outside, early morning.",False
12,1,K-Shine stands on the corner of 159th and Lawrence.,"Wide shot of K-Shine standing alone on a desolate street corner, early morning light casting long shadows.",K-Shine,Static shot to capture the isolation and confusion of the moment.,Static Shot,"159th and Lawrence, early morning.",False
13,1,K-Shine starts knocking on doors.,"Medium shot of K-Shine knocking on a door, his expression a mix of determination and anxiety.",K-Shine,Tracking shot following him as he moves from door to door.,Tracking Shot,"Residential area, early morning.",False
14,1,"The man hesitates for a beat, clearly weighing the risks.","Close-up of the man's face as he considers letting K-Shine in, tension in the air palpable.","K-Shine, Stranger",Tight framing to emphasize the moment of decision.,Unspecified Shot Type,"Inside the stranger's house, early morning.",False
15,1,Big T sets up another Uber ride for him.,"Close-up of Big T’s face, concern etched in his features as he talks to K-Shine over the phone.",Big T,Handheld camera to add an emotional weight to his concern.,Handheld Shot,"Inside the stranger's house, early morning.",False
16,1,"As he steps out of the car, K-Shine immediately notices the flashing lights of police cars.","Wide shot of K-Shine stepping out of the Uber, police lights flashing in the background, creating a sense of foreboding.",K-Shine,Static shot to capture the chaos of the moment.,Static Shot,"Outside the hotel, early morning.",False
17,1,The officer narrows his eyes but seems to buy his story.,"Close-up of the police officer's face, suspicion evident, as he questions K-Shine.","K-Shine, Officer",Tight framing to highlight the tension in the exchange.,Unspecified Shot Type,"Outside the hotel, early morning.",False
18,1,"Eventually, things calm down.","Medium shot of K-Shine sitting on the curb, head in hands, the weight of the night apparent on his face.",K-Shine,Static shot with a slight push-in for emotional impact.,Static Shot,"Outside the hotel, early morning.",False
19,1,K-Shine’s frustration boils over.,"Close-up of K-Shine's face, anger and determination clashing as he plots his escape.",K-Shine,Rapid cuts to emphasize his rising frustration.,Unspecified Shot Type,"Inside the hospital, day.",False
20,1,K-Shine makes it out of the hospital.,"Wide shot of K-Shine bursting through the hospital doors, determination in his stride.",K-Shine,Tracking shot following him as he escapes.,Tracking Shot,"Outside the hospital, day.",False
21,1,"He stumbled out, walks up to DNA’s door, and knocks.","Medium shot of K-Shine leaning against the hotel door, exhaustion and relief on his face.","K-Shine, DNA",Static shot to emphasize the moment of arrival.,Static Shot,"Outside DNA's hotel room, day.",False
22,1,"DNA opened up, bleary-eyed but concerned.",Close-up of DNA's shocked expression as he realizes K-Shine's state.,"K-Shine, DNA","Tight framing on DNA's face, capturing his surprise and concern.",Unspecified Shot Type,"Inside DNA's hotel room, day.",False
